Date,Total Forex Reserves (USD Bn),Foreign Currency Assets (USD Bn),Gold Reserves (USD Bn),SDRs (USD Bn),IMF Reserve Position (USD Bn),Aggregate Deposits - SCB (INR Crore),Bank Credit - SCB (INR Crore),M3 Broad Money (INR Crore),Currency with Public (INR Crore),Time Deposits with Banks (INR Crore)
2026-01-02,696.610,559.612,113.320,18.803,4.875,24131870,19694564,29058340,3820476,22057742
2026-01-09,686.801,551.990,111.262,18.778,4.771,24859857,20322515,29800906,3828359,22434416
2026-01-16,687.193,550.866,112.830,18.739,4.758,24859857,20322515,29800906,3828359,22434416
2026-01-23,701.360,560.518,117.454,18.704,4.684,24859857,20322515,29800906,3828359,22434416
2026-01-30,709.413,562.885,123.088,18.737,4.703,24499894,20132365,29502905,3889772,22358589
2026-02-06,723.774,562.392,137.683,18.953,4.746,24499894,20132365,29502905,3889772,22358589
2026-02-13,717.064,570.053,123.476,18.821,4.715,24881954,20475382,29903539,3906775,22590697
2026-02-20,725.727,573.603,128.466,18.924,4.734,24881954,20475382,29903539,3906775,22590697
2026-02-27,723.608,572.564,127.489,18.840,4.716,24773901,20432107,29855063,3959361,22606946
2026-03-06,728.494,573.125,131.630,18.866,4.873,24773901,20432107,29855063,3959361,22606946
2026-03-13,716.810,563.245,130.017,18.720,4.828,25190181,20754078,30298040,3985994,22823504
2026-03-20,709.759,555.568,130.681,18.697,4.814,25190181,20754078,30298040,3985994,22823504
2026-03-27,698.346,557.695,117.186,18.632,4.833,25011491,20769880,30193459,4052659,22785811
2026-04-03,688.058,551.072,113.521,18.649,4.816,25011491,20769880,30193459,4052659,22785811
2026-04-10,697.121,552.856,120.742,18.707,4.816,25011491,20769880,30193459,4052659,22785811
2026-04-17,700.946,555.983,121.343,18.763,4.857,26230486,21361435,31466475,4067578,23411178
2026-04-24,703.308,557.463,122.133,18.841,4.870,25648470,20921084,30927112,4142452,23292180
2026-05-01,698.487,554.622,120.236,18.774,4.855,25648470,20921084,30927112,4142452,23292180
2026-05-08,690.693,551.825,115.216,18.789,4.863,25864099,21211828,31159492,4161113,23428590
2026-05-15,696.988,552.387,120.853,18.873,4.875,25864099,21211828,31159492,4161113,23428590
2026-05-22,688.894,545.904,119.317,18.824,4.850,25864099,21211828,31159492,4161113,23428590
2026-05-29,681.384,543.032,114.786,18.748,4.818,25688821,21186890,31023176,4200272,23388034
2026-06-05,682.321,546.148,112.600,18.747,4.826,25688821,21186890,31023176,4200272,23388034
2026-06-12,681.610,543.444,114.575,18.765,4.826,26002106,21515965,31362050,4217181,23554159
2026-06-19,671.625,544.290,103.821,18.699,4.815,26002106,21515965,31362050,4217181,23554159
